Name,Year,Type,Genre,MovieScore,Metascore,Duration,MovieColor,MovieLanguage,MovieWorldwideGross,MovieURL,Total_Votes
Midsomer Murders,-,TV Series,"['Crime', 'Drama', 'Mystery']",7.7,0,90,Color,English,0,https://www.imdb.com/title/tt0118401/,20281
Downton Abbey,-,TV Series,"['Drama', 'Romance']",8.7,0,58,Color,English,0,https://www.imdb.com/title/tt1606375/,144877
Elementary,-,TV Series,"['Crime', 'Drama', 'Mystery']",7.9,0,60,Color,English,0,https://www.imdb.com/title/tt2191671/,95695
Sherlock,-,TV Series,"['Crime', 'Drama', 'Mystery', 'Thriller']",9.1,0,88,Color,English,0,https://www.imdb.com/title/tt1475582/,724235
The Rook,-,TV Series,"['Drama', 'Fantasy', 'Thriller']",6.7,0,50,Color,English,0,https://www.imdb.com/title/tt7395992/,2355
Fargo,-,TV Series,"['Crime', 'Drama', 'Thriller']",9,0,53,Color,English,0,https://www.imdb.com/title/tt2802850/,280999
Better Call Saul,-,TV Series,"['Crime', 'Drama']",8.7,0,46,Color,English,0,https://www.imdb.com/title/tt3032476/,256489
A Simple Favor ,2018,Movie,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",6.8,67,117,Color,English,97644617,https://www.imdb.com/title/tt7040874/,93563
Scary Stories to Tell in the Dark ,2019,Movie,"['Horror', 'Mystery', 'Thriller']",6.4,61,108,Color,English,85600931,https://www.imdb.com/title/tt3387520/,14793
Shaft ,2019,Movie,"['Action', 'Comedy', 'Crime']",6.4,40,111,Color,English,21360215,https://www.imdb.com/title/tt4463894/,26344
The Art of Self-Defense ,2019,Movie,"['Comedy', 'Drama', 'Sport', 'Thriller']",7.4,65,104,Color,English,2410914,https://www.imdb.com/title/tt7339248/,2390
Pose,-,TV Series,['Drama'],8.5,0,60,Color,English,0,https://www.imdb.com/title/tt7562112/,10668
Doom Patrol,-,TV Series,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery', 'Sci-Fi']",8.1,0,60,Color,English,0,https://www.imdb.com/title/tt8416494/,17955
Homeland,-,TV Series,"['Crime', 'Drama', 'Mystery', 'Thriller']",8.3,0,55,Color,English,0,https://www.imdb.com/title/tt1796960/,282933
Ozark,-,TV Series,"['Crime', 'Drama', 'Thriller']",8.3,0,60,Color,English,0,https://www.imdb.com/title/tt5071412/,112421
The Fresh Prince of Bel-Air,-,TV Series,['Comedy'],7.9,0,22,Color,English,0,https://www.imdb.com/title/tt0098800/,109866
Blade ,1998,Movie,"['Action', 'Horror', 'Sci-Fi']",7.1,45,120,Color,English,131183530,https://www.imdb.com/title/tt0120611/,229808
Titans,-,TV Series,"['Action', 'Adventure', 'Crime', 'Drama', 'Fantasy', 'Sci-Fi']",8,0,45,Color,English,0,https://www.imdb.com/title/tt1043813/,42983
Queen of the South,-,TV Series,"['Action', 'Crime', 'Drama', 'Thriller']",7.9,0,42,Color,English,0,https://www.imdb.com/title/tt1064899/,12632
Dexter,-,TV Series,"['Crime', 'Drama', 'Mystery', 'Thriller']",8.7,0,53,Color,English,0,https://www.imdb.com/title/tt0773262/,605812
Blade Runner 2049 ,2017,Movie,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",8,81,164,Color,English,260512487,https://www.imdb.com/title/tt1856101/,388650
"Extremely Wicked, Shockingly Evil and Vile ",2019,Movie,"['Biography', 'Crime', 'Drama', 'Thriller']",6.6,52,110,Color,English,9672789,https://www.imdb.com/title/tt2481498/,52187
The Wire,-,TV Series,"['Crime', 'Drama', 'Thriller']",9.3,0,59,Color,English,0,https://www.imdb.com/title/tt0306414/,251841
Kidnapping Stella ,2019,Movie,['Thriller'],4.8,0,89,Color,German,0,https://www.imdb.com/title/tt8613876/,3525
Sons of Anarchy,-,TV Series,"['Crime', 'Drama', 'Thriller']",8.6,0,45,Color,English,0,https://www.imdb.com/title/tt1124373/,234162
Star Trek: Discovery,-,TV Series,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",7.4,0,60,Color,English,0,https://www.imdb.com/title/tt5171438/,72866
Years and Years,-,TV Series,"['Drama', 'Sci-Fi']",8.4,0,60,Color,English,0,https://www.imdb.com/title/tt8694364/,9870
Pet Sematary ,2019,Movie,"['Horror', 'Mystery', 'Thriller']",5.8,57,101,Color,English,112399944,https://www.imdb.com/title/tt0837563/,55244
The Umbrella Academy,-,TV Series,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']",8,0,60,Color,English,0,https://www.imdb.com/title/tt1312171/,80995
The Art of Racing in the Rain ,2019,Movie,"['Comedy', 'Drama', 'Romance', 'Sport']",7.5,43,109,Color,English,28044722,https://www.imdb.com/title/tt1478839/,2915
Prison Break,-,TV Series,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",8.3,0,44,Color,Spanish,0,https://www.imdb.com/title/tt0455275/,436581
The Hitcher ,1986,Movie,['Thriller'],7.3,32,97,Color,English,5844868,https://www.imdb.com/title/tt0091209/,40417
House M.D.,-,TV Series,"['Drama', 'Mystery']",8.7,0,44,Color,English,0,https://www.imdb.com/title/tt0412142/,382361
The Shawshank Redemption ,1994,Movie,['Drama'],9.3,80,142,Color,English,28341469,https://www.imdb.com/title/tt0111161/,2130344
Aquaman ,2018,Movie,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",7,55,143,Color,English,1148061807,https://www.imdb.com/title/tt1477834/,291146
Lost,-,TV Series,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']",8.3,0,44,Color,English,0,https://www.imdb.com/title/tt0411008/,461725
Dumbo ,2019,Movie,"['Adventure', 'Family', 'Fantasy']",6.4,51,112,Color,English,353030225,https://www.imdb.com/title/tt3861390/,43987
The Dark Knight ,2008,Movie,"['Action', 'Crime', 'Drama', 'Thriller']",9,84,152,Color,English,1004934033,https://www.imdb.com/title/tt0468569/,2095084
The Hateful Eight ,2015,Movie,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Western']",7.8,68,168,Color,English,155760117,https://www.imdb.com/title/tt3460252/,452881
Into the Ashes ,2019,Movie,"['Crime', 'Drama', 'Mystery', 'Thriller']",4.8,50,98,Color,English,0,https://www.imdb.com/title/tt3138122/,699
Green Book ,2018,Movie,"['Biography', 'Comedy', 'Drama', 'Music']",8.2,69,130,Color,English,321013230,https://www.imdb.com/title/tt6966692/,235498
Once Upon a Time,-,TV Series,"['Adventure', 'Fantasy', 'Romance']",7.8,0,60,Color,English,0,https://www.imdb.com/title/tt1843230/,199439
Modern Family,-,TV Series,"['Comedy', 'Romance']",8.4,0,22,Color,English,0,https://www.imdb.com/title/tt1442437/,316617
NOS4A2,-,TV Series,"['Drama', 'Fantasy', 'Horror', 'Mystery']",6.8,0,60,Color,English,0,https://www.imdb.com/title/tt5194792/,3834
I Am Mother ,2019,Movie,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",6.8,64,113,Color,English,426323,https://www.imdb.com/title/tt6292852/,46573
The Good Place,-,TV Series,"['Comedy', 'Drama', 'Fantasy', 'Romance']",8.1,0,22,Color,English,0,https://www.imdb.com/title/tt4955642/,65179
The Fanatic ,2019,Movie,['Thriller'],5,15,88,Color,English,0,https://www.imdb.com/title/tt7869070/,109
Grand Hotel,-,TV Series,['Drama'],6.8,0,43,Color,English,0,https://www.imdb.com/title/tt7671068/,1604
Child's Play ,2019,Movie,['Horror'],6.2,48,90,Color,English,44416162,https://www.imdb.com/title/tt8663516/,13186
The Current War ,2017,Movie,"['Biography', 'Drama', 'History']",6.3,44,107,Color,English,3729699,https://www.imdb.com/title/tt2140507/,2336
Interstellar ,2014,Movie,"['Adventure', 'Drama', 'Sci-Fi']",8.6,74,169,Color,English,677471339,https://www.imdb.com/title/tt0816692/,1324869
Watchmen ,2009,Movie,"['Action', 'Drama', 'Mystery', 'Sci-Fi']",7.6,56,162,Color,English,185258983,https://www.imdb.com/title/tt0409459/,459478
The Dark Crystal: Age of Resistance,-,TV Series,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']",8.8,0,60,Color,English,0,https://www.imdb.com/title/tt6905542/,4528
Dead to Me,-,TV Series,"['Comedy', 'Drama']",8.1,0,30,Color,English,0,https://www.imdb.com/title/tt8064302/,26521
Jack Ryan,-,TV Series,"['Action', 'Drama', 'Thriller']",8.2,0,60,Color,English,0,https://www.imdb.com/title/tt5057054/,53725
